route,score,tier,confidence,score_confidence,confidence_label,score_confidence_label,review,risk_dimensions
I375,43.0,T3,0.53,0.82,Low,Medium,false,B3:10.0@0.80;B4:5.0@0.75
US14,27.4,T4,0.51,0.82,Low,Medium,false,B1:9.3@0.80;C2:5.9@0.75
US377,18.1,T4,0.51,0.82,Low,Medium,false,
US169,21.4,T4,0.51,0.82,Low,Medium,false,B1:6.3@0.80
I478,28.4,T4,0.53,0.82,Low,Medium,false,B3:10.0@0.80;B4:5.0@0.75;C1:8.2@0.85
I376,31.1,T3,0.53,0.82,Low,Medium,false,B3:10.0@0.80;B4:5.0@0.75
US10,29.4,T4,0.51,0.82,Low,Medium,false,B1:8.0@0.80;C2:4.1@0.75
I91,34.3,T3,0.58,0.82,Low,Medium,false,B4:5.0@0.75;B3:6.1@0.80
US12,40.0,T3,0.51,0.82,Low,Medium,false,B1:10.0@0.80;B3:10.0@0.80;C2:4.0@0.75
I89,23.5,T4,0.60,0.82,Low,Medium,false,B4:5.0@0.75
US191,23.2,T4,0.51,0.82,Low,Medium,false,B1:8.4@0.80
US79,24.2,T4,0.63,0.82,Medium,Medium,false,B3:10.0@0.80;C3:5.3@0.80
US301,29.3,T4,0.51,0.82,Low,Medium,false,B3:10.0@0.80;C2:4.0@0.75
US209,17.7,T4,0.49,0.82,Low,Medium,false,B3:7.1@0.80
US202,33.0,T3,0.51,0.82,Low,Medium,false,B3:10.0@0.80;C1:9.8@0.85;C2:4.0@0.75
US129,11.5,T4,0.49,0.82,Low,Medium,false,
US18,21.3,T4,0.51,0.82,Low,Medium,false,C2:5.0@0.75;B1:5.8@0.80
US19,38.3,T3,0.51,0.82,Low,Medium,false,B3:10.0@0.80;C1:6.8@0.85
I678,30.9,T3,0.53,0.82,Low,Medium,false,B3:10.0@0.80;C1:8.5@0.85;B4:5.0@0.75
US71,35.2,T3,0.51,0.82,Low,Medium,false,C2:4.8@0.75
US31E,9.2,T4,0.51,0.82,Low,Medium,false,
US78,37.9,T3,0.51,0.82,Low,Medium,false,B3:10.0@0.80;B1:5.4@0.80;C2:4.2@0.75
I4,43.1,T3,0.60,0.82,Low,Medium,false,B4:5.0@0.75;B1:5.7@0.80;B3:5.7@0.80
I74,47.2,T3,0.60,0.82,Low,Medium,false,B3:10.0@0.80;B4:5.0@0.75;C2:4.4@0.75
I505,21.9,T4,0.53,0.82,Low,Medium,false,B4:5.0@0.75
US15,29.2,T4,0.51,0.82,Low,Medium,false,B3:7.5@0.80
I476,33.3,T3,0.53,0.82,Low,Medium,false,B3:10.0@0.80;B4:5.0@0.75
US44,16.6,T4,0.49,0.82,Low,Medium,false,
US11,36.7,T3,0.51,0.82,Low,Medium,false,B3:8.3@0.80;C2:4.6@0.75
US101,31.6,T3,0.51,0.82,Low,Medium,false,B3:10.0@0.80;C1:9.4@0.85
US271,21.4,T4,0.51,0.82,Low,Medium,false,C3:6.5@0.80;B1:6.2@0.80
I293,17.8,T4,0.58,0.82,Low,Medium,false,B4:5.0@0.75
I490,31.9,T3,0.53,0.82,Low,Medium,false,B3:7.6@0.80;B4:5.0@0.75
I684,37.4,T3,0.58,0.82,Low,Medium,false,B3:8.3@0.80;C1:8.3@0.85;B4:5.0@0.75
US119,26.3,T4,0.51,0.82,Low,Medium,false,B3:10.0@0.80
I88,37.0,T3,0.60,0.82,Low,Medium,false,B4:5.0@0.75;C2:4.0@0.75
US220,31.8,T3,0.51,0.82,Low,Medium,false,B3:5.9@0.80;C2:4.1@0.75;B1:5.2@0.80
US33,24.7,T4,0.51,0.82,Low,Medium,false,B3:5.2@0.80
I43,21.8,T4,0.60,0.82,Low,Medium,false,B4:5.0@0.75
I271,26.0,T4,0.58,0.82,Low,Medium,false,B4:5.0@0.75;B3:5.2@0.80
I380,32.5,T3,0.53,0.82,Low,Medium,false,B3:6.4@0.80;B4:5.0@0.75;B1:5.8@0.80
I79,42.2,T3,0.58,0.82,Low,Medium,false,B3:10.0@0.80;B4:5.0@0.75;C3:5.1@0.80
US180,36.8,T3,0.51,0.82,Low,Medium,false,B3:8.0@0.80;C3:6.8@0.80;B1:6.2@0.80
US190,24.7,T4,0.51,0.82,Low,Medium,false,B3:6.5@0.80;C2:4.2@0.75
US231,19.4,T4,0.51,0.82,Low,Medium,false,
US1,41.4,T3,0.51,0.82,Low,Medium,false,B3:10.0@0.80;C1:10.0@0.85;D2:6.0@0.80
US340,14.7,T4,0.49,0.82,Low,Medium,false,B3:7.1@0.80
US31,27.6,T4,0.51,0.82,Low,Medium,false,B1:5.7@0.80;B3:5.6@0.80
US7,25.7,T4,0.49,0.82,Low,Medium,false,B3:7.5@0.80;C1:8.7@0.85
US62,43.9,T3,0.51,0.82,Low,Medium,false,B1:7.9@0.80;B3:6.5@0.80;C2:4.6@0.75
US50,43.5,T3,0.51,0.82,Low,Medium,false,B3:10.0@0.80;B1:8.3@0.80;C1:9.1@0.85
I83,30.9,T3,0.58,0.82,Low,Medium,false,B3:10.0@0.80;B4:5.0@0.75
US5,16.1,T4,0.51,0.82,Low,Medium,false,
US278,26.2,T4,0.51,0.82,Low,Medium,false,B3:6.9@0.80;C2:4.1@0.75
I980,14.6,T4,0.53,0.82,Low,Medium,false,B4:5.0@0.75
I695,32.0,T3,0.58,0.82,Low,Medium,false,B3:10.0@0.80;C1:10.0@0.85;B4:5.0@0.75
US41,26.5,T4,0.51,0.82,Low,Medium,false,C1:6.8@0.85;C2:4.1@0.75
US36,41.5,T3,0.51,0.82,Low,Medium,false,D2:7.0@0.80;B3:6.4@0.80;B1:6.4@0.80
US285,22.9,T4,0.51,0.82,Low,Medium,false,B1:9.2@0.80
I895,31.0,T3,0.60,0.82,Low,Medium,false,B3:10.0@0.80;B4:5.0@0.75
US176,10.8,T4,0.51,0.82,Low,Medium,false,
US212,20.2,T4,0.51,0.82,Low,Medium,false,B1:10.0@0.80
US67,37.7,T3,0.51,0.82,Low,Medium,false,B3:6.5@0.80;B1:6.4@0.80;C2:4.0@0.75
US40,45.1,T3,0.51,0.83,Low,Medium,false,B3:10.0@0.80;D2:7.6@0.80;C1:10.0@0.85
US130,22.6,T4,0.49,0.83,Low,Medium,false,B3:10.0@0.80
US68,17.1,T4,0.49,0.83,Low,Medium,false,B3:6.8@0.80
I691,28.9,T4,0.58,0.83,Low,Medium,false,B4:5.0@0.75;B3:5.5@0.80
US22,29.7,T4,0.51,0.83,Low,Medium,false,B3:10.0@0.80;C1:7.9@0.85;C2:4.0@0.75
I57,49.6,T3,0.60,0.83,Low,Medium,false,A5:10.0@0.85;C3:6.6@0.80;B4:5.0@0.75
US52,42.6,T3,0.51,0.83,Low,Medium,false,B3:10.0@0.80;C2:4.5@0.75;B1:5.6@0.80
I96,45.2,T3,0.60,0.83,Low,Medium,false,B3:10.0@0.80;B4:5.0@0.75;B2:10.0@0.90
US422,23.2,T4,0.49,0.83,Low,Medium,false,B3:10.0@0.80
I278,33.6,T3,0.58,0.83,Low,Medium,false,B3:10.0@0.80;C1:8.6@0.85;B4:5.0@0.75
I394,15.0,T4,0.60,0.83,Low,Medium,false,B4:5.0@0.75
US206,21.1,T4,0.49,0.83,Low,Medium,false,B3:8.3@0.80;C1:8.0@0.85
US23,33.3,T3,0.51,0.83,Low,Medium,false,B3:8.3@0.80;C1:7.8@0.85;B1:5.6@0.80
US97,17.4,T4,0.51,0.83,Low,Medium,false,B3:5.6@0.80
I41,22.8,T4,0.60,0.83,Low,Medium,false,B4:5.0@0.75
US87,28.0,T4,0.51,0.83,Low,Medium,false,C2:4.1@0.75
US29,33.4,T3,0.51,0.83,Low,Medium,false,B3:10.0@0.80;C2:4.3@0.75
US35,25.8,T4,0.51,0.83,Low,Medium,false,B3:7.6@0.80
US85,40.8,T3,0.51,0.83,Low,Medium,false,B1:9.3@0.80;B3:8.0@0.80;B2:10.0@0.90
US223,25.0,T4,0.49,0.83,Low,Medium,false,B3:7.4@0.80;C3:5.1@0.80
US501,16.4,T4,0.51,0.83,Low,Medium,false,
I78,43.3,T3,0.60,0.83,Low,Medium,false,B3:10.0@0.80;B4:5.0@0.75;C1:6.9@0.85
US270,28.2,T4,0.51,0.83,Low,Medium,false,
I465,26.9,T4,0.60,0.83,Low,Medium,false,B4:5.0@0.75
I287,41.0,T3,0.60,0.83,Low,Medium,false,B3:10.0@0.80;C1:8.4@0.85;B4:5.0@0.75
I71,47.4,T3,0.60,0.83,Low,Medium,false,B3:10.0@0.80;A5:9.5@0.85;B4:5.0@0.75
I87,36.7,T3,0.60,0.83,Low,Medium,false,B3:10.0@0.80;B4:5.0@0.75;C1:8.1@0.85
US65,32.6,T3,0.51,0.83,Low,Medium,false,B1:6.9@0.80;C3:5.9@0.80;B2:10.0@0.90
I35E,15.7,T4,0.58,0.83,Low,Medium,false,B4:5.0@0.75
I676,34.4,T3,0.54,0.83,Low,Medium,false,B3:10.0@0.80;B4:5.0@0.75
US141,15.2,T4,0.51,0.83,Low,Medium,false,B1:5.0@0.80
US89,17.6,T4,0.51,0.83,Low,Medium,false,
US56,8.6,T4,0.51,0.83,Low,Medium,false,
US275,9.0,T4,0.51,0.83,Low,Medium,false,
US158,16.4,T4,0.49,0.83,Low,Medium,false,
I39,30.3,T3,0.60,0.83,Low,Medium,false,B4:5.0@0.75;B1:5.3@0.80;B2:10.0@0.90
I355,21.8,T4,0.58,0.83,Low,Medium,false,B4:5.0@0.75
US127,17.1,T4,0.51,0.83,Low,Medium,false,B3:6.7@0.80
US74,29.8,T4,0.51,0.83,Low,Medium,false,C2:4.8@0.75;C3:5.7@0.80;B2:10.0@0.90
US222,19.4,T4,0.49,0.83,Low,Medium,false,B3:7.5@0.80
US151,13.4,T4,0.51,0.83,Low,Medium,false,
US25W,18.1,T4,0.51,0.84,Low,Medium,false,C3:5.7@0.80
US19W,18.5,T4,0.51,0.84,Low,Medium,false,C3:6.6@0.80
US27,32.4,T3,0.51,0.84,Low,Medium,false,B3:10.0@0.80;C3:5.3@0.80;B2:10.0@0.90
I255,26.0,T4,0.60,0.84,Low,Medium,false,B4:5.0@0.75;B2:10.0@0.90
US321,17.4,T4,0.49,0.84,Low,Medium,false,
US81,32.6,T3,0.51,0.84,Low,Medium,false,B1:5.5@0.80;C1:7.0@0.85;B2:10.0@0.90
US522,15.7,T4,0.51,0.84,Low,Medium,false,B3:5.4@0.80
I294,26.4,T4,0.58,0.84,Low,Medium,false,B4:5.0@0.75
US264,19.0,T4,0.49,0.84,Low,Medium,false,
US224,26.4,T4,0.51,0.84,Low,Medium,false,B3:5.6@0.80;B2:10.0@0.90
I494,20.7,T4,0.58,0.85,Low,Medium,false,B4:5.0@0.75;B2:10.0@0.90
US42,25.8,T4,0.51,0.85,Low,Medium,false,B2:10.0@0.90
I93,29.1,T4,0.60,0.85,Low,Medium,false,B4:5.0@0.75;B2:10.0@0.90
US3,9.9,T4,0.49,0.85,Low,Medium,false,
US189,13.0,T4,0.51,0.85,Low,Medium,false,
I694,21.1,T4,0.58,0.85,Low,Medium,false,B4:5.0@0.75;B2:10.0@0.90
US175,13.7,T4,0.49,0.85,Low,Medium,false,
US4,16.9,T4,0.51,0.85,Low,Medium,false,B1:5.1@0.80
US131,21.1,T4,0.51,0.85,Low,Medium,false,
US8,6.8,T4,0.51,0.85,Low,High,false,
US601,20.7,T4,0.51,0.86,Low,High,false,B2:10.0@0.90
US311,19.0,T4,0.51,0.86,Low,High,false,
US21,20.3,T4,0.51,0.86,Low,High,false,B2:10.0@0.90
